title,date,run_time,genre,rating,introduction,director,stars,num_votes
La Pelicula Sin Nombre!,2023-01-01,59,Comedy,9.3,"When Memin runs out of money and feels like there is no exit, his life changes, but with someone else's money, his best friend Boobie Tanga, they start investing in cannabis, and things get crazy.",Memin Calidad,Chente Ydrach,6
Atrabilious,2023-01-01,105,"Comedy, Horror, Thriller",7.9,"Atrabilious follows Steven Joyner as he tries to solve the mystery behind his son's sudden, tragic and potentially fabricated death.",William Atticus Parker,"Leon Addison Brown, Mark Boone Junior, Whoopi Goldberg, Jeffrey Wright",34
I migliori giorni,2023-01-01,101,Comedy,5.5,,"Massimiliano Bruno, Edoardo Leo","Claudia Gerini, Greta Scarano, Anna Foglietta, Luca Argentero",460
Grom: Trudnoye detstvo,2023-01-01,80,"Action, Adventure",6,"Twenty years before the 'Plague Doctor' events, Igor Grom was just a schoolboy who loved hanging out in the streets with his best friend while his dad spent nights at police work chasing ...",Oleg Trofim,"Kai Aleks Getts, Sergey Marin, Alexey Vedernikov, Vladimir Yaganov",540
Tre di troppo,2023-01-01,90,"Comedy, Romance",6.2,Marco and Giulia are a couple who don't want children but one day fate has a surprise for them.,Fabio De Luigi,"Barbara Chichiarelli, Fabio De Luigi, Fabio Balsamo, Virginia Raffaele",224
Survive N Chicago the Movie,2023-01-01,,Drama,,,Gregory Bennett,"Gregory Bennett, Pretty Rickey PR",
Invisible Hacker,2023-01-01,150,"Action, Scifi",9.3,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...",Juwel Chowdhury,"Juwel Chowdhury, Ricky Riyaf",26
Prisoner of Love,2023-01-01,,Drama,,Four couples experience emotional turmoil and growth while navigating every day life with friends.,Michele Adams,"Pedro Arjon, Jacqueline Bell, Melanie Drake, Dustin Garrison Jr.",
Wyatt Earp and Bass Reeves,2023-01-01,84,"Drama, Western",2.6,Wyatt Earp is building his own town in far northern California when he is confronted with something much worse than any of the outlaws he has faced before...the legendary and menacing Emmett Black and his Black Train.,Christopher Forbes,"William Adams, Mitch Allman, Jezibell Anat, Jerry Chesser",10
Chebi: Gấu Tai to Đáng Yêu,2023-01-01,113,"Comedy, Family",5.8,"What if Cheburashka really exists? What if he is not a plush toy, but quite a real furry animal that lives in an orange grove in a distant country?",Dmitriy Dyachenko,"Artyom Bystrov, Ekaterina Cherednik, Debi Derryberry, Fyodor Dobronravov",1341
Dollhouse,2023-01-01,,Thriller,6.3,"A young African American woman who struggles financially while doing food delivery as her second source of income, When she encounters him she finds herself trapped and manipulated. He won't stop until he finds a way to make her love him.",Mark K. Buddington,"Jessica Fontaine, Shuntel Renay, Leslie Black, Reece Odum",10
Storm Over Georgia,2023-01-01,82,"Drama, History, War",4.6,"In the middle of Sherman's March, in eastern Georgia, Confederate infantry, cavalry, and artillery make a bold stand against the overwhelming numbers of the Union army as it tears across Georgia.",Christopher Forbes,"William Adams, Jezibell Anat, Jerry Chesser, Eddie Rodgers",8
